Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-77.62980190307017		
1	52.85	-73.09946776818997		
2	55.87	-69.35548223973527		
3	59.05	-66.19993017256805		
4	62.42	-64.65994006388648		
5	65.98	-64.60395759079744		
6	69.75	-69.47884570820050		
7	73.73	-63.56040733775759		
8	77.93	-67.74259594848624		
9	82.38	-66.68111965753589		
10	87.08	-67.22118784761290		
11	92.04	-67.08580066851644		
12	97.29	-67.96620289563350		
13	102.84	-67.42280510543128		
14	108.71	-65.00266675611100		
15	114.91	-63.49458791361326		
16	121.47	-62.82430156557302		
17	128.40	-63.14952298074436		
18	135.72	-63.62337191517315		
19	143.46	-64.12794667008667		
20	151.65	-63.75870713878975		
21	160.30	-62.28764909355434		
22	169.44	-61.69690015008263		
23	179.11	-61.63481698470812		
24	189.32	-62.15976102335456		
25	200.12	-62.30383218605810		
26	211.54	-62.23320075709509		
27	223.61	-62.00892908453872		
28	236.36	-61.93151085716492		
29	249.85	-61.81838025766264		
30	264.10	-61.84772481400164		
31	279.16	-61.75171075693679		
32	295.09	-61.32927984135212		
33	311.92	-61.26334290556043		
34	329.71	-61.31508283012137		
35	348.52	-61.18427173298348		
36	368.40	-60.56283818634334		
37	389.42	-60.26285249878259		
38	411.63	-60.34821050638718		
39	435.11	-60.24828533643765		
40	459.93	-60.20164024562308		
41	486.17	-60.19949783605050		
42	513.90	-60.15811768497441		
43	543.22	-60.54127052322240		
44	574.21	-59.88840769681253		
45	606.96	-59.62062788273984		
46	641.59	-59.09779673295396		
47	678.18	-59.96283788017007		
48	716.87	-60.69936220466147		
49	757.76	-59.68317357968488		
50	800.99	-60.02203479245037		
51	846.68	-60.56650805192774		
52	894.98	-59.95285569811853		
53	946.03	-59.83229112548673		
54	1000.00	-58.66855252342617		
55	1057.04	-58.96834840915947		
56	1117.34	-59.31625153310976		
57	1181.08	-59.14079160687605		
58	1248.45	-59.43492756181434		
59	1319.67	-59.24408601777518		
60	1394.95	-59.05747403467002		
61	1474.52	-59.21052650902780		
62	1558.64	-59.08412988848036		
63	1647.55	-59.81194541134109		
64	1741.53	-59.57528795269531		
65	1840.88	-59.17729992278589		
66	1945.89	-59.49970387966297		
67	2056.89	-59.88514172809954		
68	2174.22	-60.28814433626939		
69	2298.25	-61.05171367153317		
70	2429.35	-61.05758094200182		
71	2567.93	-60.68391181934870		
72	2714.42	-60.05260829280354		
73	2869.26	-60.43980232386146		
74	3032.93	-60.13872785164291		
75	3205.95	-59.95172988760047		
76	3388.83	-60.15282322105308		
77	3582.14	-59.06454709355023		
78	3786.48	-58.69377892117296		
79	4002.48	-58.74137211965741		
80	4230.79	-58.86333531887505		
81	4472.14	-59.03592033489001		
82	4727.25	-58.86129765668630		
83	4996.91	-59.95301740131616		
84	5281.95	-59.99081016044671		
85	5583.26	-59.82630615813623		
86	5901.75	-59.75972944835097		
87	6238.41	-59.98558747992217		
88	6594.27	-59.51431448452519		
89	6970.44	-59.95296508491690		
90	7368.06	-60.59182284820114		
91	7788.37	-60.16030836578564		
92	8232.65	-60.20232775256371		
93	8702.27	-59.68638613625868		
94	9198.69	-59.40405794172472		
95	9723.42	-60.25046341473301		
96	10278.09	-60.40360875523999		
97	10864.39	-60.71232213209280		
98	11484.14	-62.07240576101908		
99	12139.24	-62.68959346955624		
100	12831.72	-61.95773421442576		
101	13563.69	-63.19954598727768		
102	14337.42	-64.47279772590073		
103	15155.29	-63.81571538985467		
104	16019.81	-63.83146698703438		
105	16933.65	-64.46585334651377		
106	17899.62	-64.95648710617633		
107	18920.68	-66.61341462157617		
108	20000.00	-68.69214099320845		
