Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-102.27403864220791		
1	52.85	-98.70074614463525		
2	55.87	-95.73684538460111		
3	59.05	-94.80567983220281		
4	62.42	-91.94909320529462		
5	65.98	-91.21467173575634		
6	69.75	-90.77947361057596		
7	73.73	-91.71544064425045		
8	77.93	-91.15534570670242		
9	82.38	-91.07496232811920		
10	87.08	-91.24764837943539		
11	92.04	-92.60796970247608		
12	97.29	-92.27574280265000		
13	102.84	-88.91967498086615		
14	108.71	-86.95937032924940		
15	114.91	-85.63076421675166		
16	121.47	-85.58580865600445		
17	128.40	-84.86177021678354		
18	135.72	-85.87791940540785		
19	143.46	-86.12888950101089		
20	151.65	-87.36523957426248		
21	160.30	-84.84699473347337		
22	169.44	-84.95997016377385		
23	179.11	-85.36919379852812		
24	189.32	-82.79346323641083		
25	200.12	-86.28680268484409		
26	211.54	-85.68470785079082		
27	223.61	-86.66150925069384		
28	236.36	-86.40851064230792		
29	249.85	-85.29980277791891		
30	264.10	-86.77774745090331		
31	279.16	-86.18518165692245		
32	295.09	-85.60226700413129		
33	311.92	-86.40600813290604		
34	329.71	-86.87423376296322		
35	348.52	-87.47861305997414		
36	368.40	-86.57645103952756		
37	389.42	-86.87227970310244		
38	411.63	-85.31794436939865		
39	435.11	-85.54518105090558		
40	459.93	-85.42396234642875		
41	486.17	-85.08694482303037		
42	513.90	-85.79816498205125		
43	543.22	-85.97415875945758		
44	574.21	-85.31089633595583		
45	606.96	-84.08207168171538		
46	641.59	-84.06085550536912		
47	678.18	-84.22865301591259		
48	716.87	-84.44874717976553		
49	757.76	-84.09842728137302		
50	800.99	-84.21312694441079		
51	846.68	-84.53205281216121		
52	894.98	-83.69813342769911		
53	946.03	-83.52511920024780		
54	1000.00	-82.42173772909449		
55	1057.04	-82.28270491936154		
56	1117.34	-82.76643261060008		
57	1181.08	-82.87365359838327		
58	1248.45	-81.94806111852329		
59	1319.67	-82.55797004611399		
60	1394.95	-82.17365541890099		
61	1474.52	-82.07431883553930		
62	1558.64	-82.69285179018800		
63	1647.55	-83.25015566130378		
64	1741.53	-83.65924763409947		
65	1840.88	-83.61220883045770		
66	1945.89	-83.21898912099354		
67	2056.89	-84.13695250379645		
68	2174.22	-85.05017288202056		
69	2298.25	-85.10985665169071		
70	2429.35	-84.93463238696567		
71	2567.93	-84.63209368347326		
72	2714.42	-84.56160185043109		
73	2869.26	-84.30413702584308		
74	3032.93	-84.14347397723120		
75	3205.95	-84.32470630195959		
76	3388.83	-82.78273290619805		
77	3582.14	-81.90210460780325		
78	3786.48	-80.86538473083023		
79	4002.48	-80.98650473491276		
80	4230.79	-80.66694317697784		
81	4472.14	-81.01773245477148		
82	4727.25	-80.85663750232317		
83	4996.91	-83.01965303156625		
84	5281.95	-82.69269904706360		
85	5583.26	-82.70068904412845		
86	5901.75	-84.32117840264108		
87	6238.41	-86.79352797530221		
88	6594.27	-85.80900728948895		
89	6970.44	-83.78172376026686		
90	7368.06	-79.94491906129937		
91	7788.37	-80.17874653881793		
92	8232.65	-82.66292617703161		
93	8702.27	-91.90853262634380		
94	9198.69	-88.30308326328479		
95	9723.42	-88.81604223759362		
96	10278.09	-92.27184247800986		
97	10864.39	-99.36604430353459		
98	11484.14	-100.86746636580106		
99	12139.24	-106.72649561530207		
100	12831.72	-106.54307416160171		
101	13563.69	-103.85076492078888		
102	14337.42	-104.07140609064440		
103	15155.29	-102.50079952425517		
104	16019.81	-99.83013386512182		
105	16933.65	-97.07649560034713		
106	17899.62	-104.53653226230753		
107	18920.68	-117.10306725200840		
108	20000.00	-117.98574864322238		
